지점,지점명,일시,강수 계속시간(hr),일강수량(mm)
108,서울,2018-01-08,4.5,.9
108,서울,2018-01-09,5.58,.5
108,서울,2018-01-10,2.08,.3
108,서울,2018-01-12,2.08,0
108,서울,2018-01-13,7.83,.4
108,서울,2018-01-15,1.25,.2
108,서울,2018-01-16,1.25,0
108,서울,2018-01-18,.58,0
108,서울,2018-01-22,6,3.3
108,서울,2018-01-30,8.67,2.9
108,서울,2018-01-31,.67,0
108,서울,2018-02-03,3.83,.5
108,서울,2018-02-11,1,0
108,서울,2018-02-12,2.17,0
108,서울,2018-02-22,.67,.4
108,서울,2018-02-23,2.75,3.7
108,서울,2018-02-28,11.25,25
108,서울,2018-03-01,4.25,.5
108,서울,2018-03-03,1.17,0
108,서울,2018-03-04,13.75,11.5
108,서울,2018-03-05,9.92,3.5
108,서울,2018-03-07,3.5,.5
108,서울,2018-03-08,10.25,4
108,서울,2018-03-15,13.5,27
108,서울,2018-03-18,7.42,.5
108,서울,2018-03-19,13.5,1
108,서울,2018-03-21,8.33,1
108,서울,2018-04-03,2.92,.1
108,서울,2018-04-04,6.5,18.5
108,서울,2018-04-05,19.67,10.5
108,서울,2018-04-06,5.42,6.5
108,서울,2018-04-07,2.58,.2
108,서울,2018-04-08,6.5,3
108,서울,2018-04-10,2.58,5
108,서울,2018-04-14,13.33,9
108,서울,2018-04-22,14.5,15.5
108,서울,2018-04-23,23.42,59
108,서울,2018-04-24,5.75,3
108,서울,2018-05-01,1.42,0
108,서울,2018-05-02,14.83,12
108,서울,2018-05-03,3.62,1
108,서울,2018-05-06,13.83,22
108,서울,2018-05-12,21,32
108,서울,2018-05-13,8.25,.5
108,서울,2018-05-15,.75,0
108,서울,2018-05-16,17.07,45
108,서울,2018-05-17,19.75,83
108,서울,2018-05-18,13.33,6.5
108,서울,2018-05-22,9.5,12.5
108,서울,2018-05-23,3.5,6.5
108,서울,2018-05-29,3,1
108,서울,2018-05-30,2.25,0
108,서울,2018-06-09,5,.5
108,서울,2018-06-10,4.67,.5
108,서울,2018-06-11,5.42,5
108,서울,2018-06-12,1.08,0
108,서울,2018-06-13,.33,0
108,서울,2018-06-14,7.08,29
108,서울,2018-06-15,4.17,16.5
108,서울,2018-06-26,20.17,71.5
108,서울,2018-06-27,8.83,1
108,서울,2018-06-28,7.5,26.5
108,서울,2018-06-29,7.67,6.5
108,서울,2018-06-30,4.33,14.5
108,서울,2018-07-01,19.25,83.5
108,서울,2018-07-02,21.58,59.5
108,서울,2018-07-03,1.58,.1
108,서울,2018-07-05,2.67,.5
108,서울,2018-07-09,17.58,14
108,서울,2018-07-10,8.67,16.5
108,서울,2018-07-11,10.58,3
108,서울,2018-07-12,6.08,1
108,서울,2018-07-14,.33,0
108,서울,2018-07-28,1.83,7.5
108,서울,2018-08-05,2.5,2
108,서울,2018-08-06,3.83,6.5
108,서울,2018-08-09,3.5,2
108,서울,2018-08-12,2,5
108,서울,2018-08-13,1.58,1
108,서울,2018-08-15,.92,1
108,서울,2018-08-20,.33,0
108,서울,2018-08-21,6.5,5
108,서울,2018-08-23,9.42,3
108,서울,2018-08-24,16.25,7.5
108,서울,2018-08-26,4.67,2
108,서울,2018-08-27,15.17,19.5
108,서울,2018-08-28,12.92,96.5
108,서울,2018-08-29,10.92,42
108,서울,2018-08-30,6.25,9.5
108,서울,2018-08-31,5.08,.1
108,서울,2018-09-03,10.83,34.5
108,서울,2018-09-06,.75,1
108,서울,2018-09-07,1.58,.5
108,서울,2018-09-14,1.75,.5
108,서울,2018-09-15,4.75,.2
108,서울,2018-09-16,14.33,2
108,서울,2018-09-17,1.83,.1
108,서울,2018-09-19,6.83,.2
108,서울,2018-09-20,10.92,5
108,서울,2018-09-21,11.83,18
108,서울,2018-09-22,1,6.5
108,서울,2018-09-23,1.5,0
108,서울,2018-10-01,.58,0
108,서울,2018-10-05,17.17,36.5
108,서울,2018-10-06,12.67,55.5
108,서울,2018-10-09,.42,0
108,서울,2018-10-10,2.67,7
108,서울,2018-10-23,3,5
108,서울,2018-10-26,8.58,11
108,서울,2018-10-28,4.67,5.5
108,서울,2018-10-29,.83,0
108,서울,2018-10-30,1.58,0
108,서울,2018-10-31,1.58,0
108,서울,2018-11-07,11,2
108,서울,2018-11-08,24,64
108,서울,2018-11-09,3.5,1
108,서울,2018-11-10,1.08,0
108,서울,2018-11-11,2.33,0
108,서울,2018-11-20,.83,.2
108,서울,2018-11-21,3.83,1
108,서울,2018-11-24,4.33,10.9
108,서울,2018-11-29,.67,0
108,서울,2018-12-03,13.25,9.5
108,서울,2018-12-04,6.75,5
108,서울,2018-12-06,1.25,0
108,서울,2018-12-13,9,1.3
108,서울,2018-12-16,6.25,.3
108,서울,2018-12-17,.67,.3
